Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
16/03/2026,ZELLIDJA S.A,ZDJ,-,225.0,-,-,-,-,-,128891025.0
13/03/2026,ZELLIDJA S.A,ZDJ,-,225.0,-,-,-,-,-,128891025.0
12/03/2026,ZELLIDJA S.A,ZDJ,225.0,225.0,225.0,225.0,21,4725.0,1,128891025.0
11/03/2026,ZELLIDJA S.A,ZDJ,220.0,220.0,220.0,220.0,10,2200.0,1,126026780.0
10/03/2026,ZELLIDJA S.A,ZDJ,-,213.0,-,-,-,-,-,122016837.0
09/03/2026,ZELLIDJA S.A,ZDJ,213.0,213.0,213.0,213.0,22,4686.0,4,122016837.0
06/03/2026,ZELLIDJA S.A,ZDJ,225.75,225.75,225.75,225.75,19,4289.25,5,129320661.75
05/03/2026,ZELLIDJA S.A,ZDJ,213.0,213.0,213.0,213.0,22,4686.0,3,122016837.0
04/03/2026,ZELLIDJA S.A,ZDJ,201.0,201.0,201.0,201.0,34,6834.0,3,115142649.0
03/03/2026,ZELLIDJA S.A,ZDJ,200.0,200.0,200.0,200.0,9,1800.0,4,114569800.0
02/03/2026,ZELLIDJA S.A,ZDJ,207.8,207.8,207.8,207.8,7,1454.6,4,119038022.2
27/02/2026,ZELLIDJA S.A,ZDJ,220.95,220.95,220.95,220.95,11,2430.45,3,126570986.55
26/02/2026,ZELLIDJA S.A,ZDJ,235.0,235.0,235.0,235.0,25,5875.0,1,134619515.0
25/02/2026,ZELLIDJA S.A,ZDJ,235.0,235.0,235.0,235.0,24,5640.0,3,134619515.0
24/02/2026,ZELLIDJA S.A,ZDJ,-,240.0,-,-,-,-,-,137483760.0
23/02/2026,ZELLIDJA S.A,ZDJ,240.0,240.0,240.0,240.0,4,960.0,2,137483760.0
20/02/2026,ZELLIDJA S.A,ZDJ,230.0,230.0,230.0,230.0,15,3450.0,2,131755270.0
19/02/2026,ZELLIDJA S.A,ZDJ,240.0,240.0,240.0,240.0,2,480.0,2,137483760.0
18/02/2026,ZELLIDJA S.A,ZDJ,237.0,237.0,237.0,237.0,7,1659.0,3,135765213.0
17/02/2026,ZELLIDJA S.A,ZDJ,223.75,223.75,223.75,223.75,51,11411.25,7,128174963.75
16/02/2026,ZELLIDJA S.A,ZDJ,238.0,238.0,238.0,238.0,2,476.0,2,136338062.0
13/02/2026,ZELLIDJA S.A,ZDJ,245.0,245.0,245.0,245.0,16,3920.0,3,140348005.0
12/02/2026,ZELLIDJA S.A,ZDJ,245.0,245.0,245.0,245.0,45,11025.0,6,140348005.0
11/02/2026,ZELLIDJA S.A,ZDJ,244.95,244.95,244.95,244.95,3,734.85,2,140319362.55
10/02/2026,ZELLIDJA S.A,ZDJ,245.0,245.0,245.0,245.0,4,980.0,2,140348005.0
09/02/2026,ZELLIDJA S.A,ZDJ,234.0,234.0,234.0,234.0,27,6318.0,4,134046666.0
06/02/2026,ZELLIDJA S.A,ZDJ,246.0,246.0,246.0,246.0,1,246.0,1,140920854.0
05/02/2026,ZELLIDJA S.A,ZDJ,-,232.15,-,-,-,-,-,132986895.35
04/02/2026,ZELLIDJA S.A,ZDJ,232.15,232.15,232.15,232.15,10,2321.5,1,132986895.35
03/02/2026,ZELLIDJA S.A,ZDJ,-,232.15,-,-,-,-,-,132986895.35
