Company,Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
AFMA,13/03/2026,AFMA,AFM,-,1260.0,-,-,-,-,-,1260000000.0
AGMA,13/03/2026,AGMA,AGM,-,6840.0,-,-,-,-,-,1368000000.0
AFMA,12/03/2026,AFMA,AFM,-,1260.0,-,-,-,-,-,1260000000.0
AGMA,12/03/2026,AGMA,AGM,-,6840.0,-,-,-,-,-,1368000000.0
AFMA,11/03/2026,AFMA,AFM,-,1260.0,-,-,-,-,-,1260000000.0
AGMA,11/03/2026,AGMA,AGM,6840.0,6840.0,6840.0,6840.0,8,54720.0,2,1368000000.0
AFMA,10/03/2026,AFMA,AFM,1260.0,1260.0,1260.0,1260.0,21,26460.0,2,1260000000.0
AGMA,10/03/2026,AGMA,AGM,-,6840.0,-,-,-,-,-,1368000000.0
AFMA,09/03/2026,AFMA,AFM,-,1242.0,-,-,-,-,-,1242000000.0
AGMA,09/03/2026,AGMA,AGM,-,6840.0,-,-,-,-,-,1368000000.0
AFMA,06/03/2026,AFMA,AFM,1242.0,1242.0,1242.0,1242.0,10,12420.0,3,1242000000.0
AGMA,06/03/2026,AGMA,AGM,-,6840.0,-,-,-,-,-,1368000000.0
AFMA,05/03/2026,AFMA,AFM,1172.0,1172.0,1172.0,1172.0,2,2344.0,1,1172000000.0
AGMA,05/03/2026,AGMA,AGM,-,6840.0,-,-,-,-,-,1368000000.0
AFMA,04/03/2026,AFMA,AFM,-,1246.0,-,-,-,-,-,1246000000.0
AGMA,04/03/2026,AGMA,AGM,-,6840.0,-,-,-,-,-,1368000000.0
AFMA,03/03/2026,AFMA,AFM,-,1246.0,-,-,-,-,-,1246000000.0
AGMA,03/03/2026,AGMA,AGM,-,6840.0,-,-,-,-,-,1368000000.0
AFMA,02/03/2026,AFMA,AFM,-,1246.0,-,-,-,-,-,1246000000.0
AGMA,02/03/2026,AGMA,AGM,-,6840.0,-,-,-,-,-,1368000000.0
AFMA,27/02/2026,AFMA,AFM,-,1246.0,-,-,-,-,-,1246000000.0
AGMA,27/02/2026,AGMA,AGM,-,6840.0,-,-,-,-,-,1368000000.0
AFMA,26/02/2026,AFMA,AFM,1246.0,1246.0,1246.0,1246.0,2,2492.0,1,1246000000.0
AGMA,26/02/2026,AGMA,AGM,-,6840.0,-,-,-,-,-,1368000000.0
AFMA,25/02/2026,AFMA,AFM,-,1246.0,-,-,-,-,-,1246000000.0
AGMA,25/02/2026,AGMA,AGM,6840.0,6840.0,6840.0,6840.0,2,13680.0,2,1368000000.0
AFMA,24/02/2026,AFMA,AFM,-,1246.0,-,-,-,-,-,1246000000.0
AGMA,24/02/2026,AGMA,AGM,6456.0,6456.0,6456.0,6456.0,1,6456.0,1,1291200000.0
AFMA,23/02/2026,AFMA,AFM,1246.0,1246.0,1246.0,1246.0,1,1246.0,1,1246000000.0
AFMA,20/02/2026,AFMA,AFM,-,1245.0,-,-,-,-,-,1245000000.0
AGMA,23/02/2026,AGMA,AGM,6444.0,6444.0,6444.0,6444.0,1,6444.0,1,1288800000.0
AFMA,19/02/2026,AFMA,AFM,-,1245.0,-,-,-,-,-,1245000000.0
AGMA,20/02/2026,AGMA,AGM,-,6855.0,-,-,-,-,-,1371000000.0
AFMA,18/02/2026,AFMA,AFM,-,1245.0,-,-,-,-,-,1245000000.0
AGMA,19/02/2026,AGMA,AGM,-,6855.0,-,-,-,-,-,1371000000.0
AFMA,17/02/2026,AFMA,AFM,-,1245.0,-,-,-,-,-,1245000000.0
AGMA,18/02/2026,AGMA,AGM,-,6855.0,-,-,-,-,-,1371000000.0
AFMA,16/02/2026,AFMA,AFM,-,1245.0,-,-,-,-,-,1245000000.0
AGMA,17/02/2026,AGMA,AGM,-,6855.0,-,-,-,-,-,1371000000.0
AFMA,13/02/2026,AFMA,AFM,-,1245.0,-,-,-,-,-,1245000000.0
AGMA,16/02/2026,AGMA,AGM,-,6855.0,-,-,-,-,-,1371000000.0
AFMA,12/02/2026,AFMA,AFM,1245.0,1245.0,1245.0,1245.0,1,1245.0,1,1245000000.0
AGMA,13/02/2026,AGMA,AGM,6855.0,6855.0,6855.0,6855.0,21,143955.0,3,1371000000.0
AFMA,11/02/2026,AFMA,AFM,1245.0,1245.0,1245.0,1245.0,2,2490.0,1,1245000000.0
AGMA,12/02/2026,AGMA,AGM,6500.0,6500.0,6500.0,6500.0,36,234000.0,3,1300000000.0
AFMA,10/02/2026,AFMA,AFM,-,1226.0,-,-,-,-,-,1226000000.0
AGMA,11/02/2026,AGMA,AGM,6410.0,6410.0,6410.0,6410.0,11,70510.0,3,1282000000.0
AFMA,09/02/2026,AFMA,AFM,-,1226.0,-,-,-,-,-,1226000000.0
AGMA,10/02/2026,AGMA,AGM,6500.0,6500.0,6500.0,6500.0,2,13000.0,1,1300000000.0
AFMA,06/02/2026,AFMA,AFM,-,1226.0,-,-,-,-,-,1226000000.0
AGMA,09/02/2026,AGMA,AGM,6401.0,6401.0,6401.0,6401.0,1,6401.0,1,1280200000.0
AFMA,05/02/2026,AFMA,AFM,-,1226.0,-,-,-,-,-,1226000000.0
