Company,Séance,Instrument,Ticker,Ouverture,Dernier_Cours,haut_du_jour,bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
AFRIC INDUSTRIES SA,09/04/2026,AFRIC INDUSTRIES SA,AFI,352.0,353.9,355.0,350.0,161,56597.7,19,103161850.0
AFRIC INDUSTRIES SA,08/04/2026,AFRIC INDUSTRIES SA,AFI,338.85,350.0,350.9,338.85,606,208287.85,30,102025000.0
AFRIC INDUSTRIES SA,07/04/2026,AFRIC INDUSTRIES SA,AFI,335.0,338.75,338.75,333.15,62,20850.65,9,98745625.0
AFRIC INDUSTRIES SA,06/04/2026,AFRIC INDUSTRIES SA,AFI,338.35,336.0,338.85,336.0,118,39909.25,10,97944000.0
AFRIC INDUSTRIES SA,03/04/2026,AFRIC INDUSTRIES SA,AFI,338.5,338.4,338.5,333.0,94,31431.55,23,98643600.0
AFRIC INDUSTRIES SA,02/04/2026,AFRIC INDUSTRIES SA,AFI,334.0,338.0,338.9,333.0,323,108785.75,21,98527000.0
AFRIC INDUSTRIES SA,01/04/2026,AFRIC INDUSTRIES SA,AFI,335.0,338.5,338.9,335.0,609,205926.0,15,98672750.0
AFRIC INDUSTRIES SA,31/03/2026,AFRIC INDUSTRIES SA,AFI,337.0,335.0,337.0,335.0,22,7393.5,5,97652500.0
AFRIC INDUSTRIES SA,30/03/2026,AFRIC INDUSTRIES SA,AFI,336.0,335.0,336.95,335.0,67,22503.35,9,97652500.0
AFRIC INDUSTRIES SA,27/03/2026,AFRIC INDUSTRIES SA,AFI,337.5,336.9,337.5,332.0,97,32424.5,14,98206350.0
AFRIC INDUSTRIES SA,26/03/2026,AFRIC INDUSTRIES SA,AFI,335.0,335.0,337.4,335.0,122,40984.7,13,97652500.0
AFRIC INDUSTRIES SA,25/03/2026,AFRIC INDUSTRIES SA,AFI,333.0,337.5,337.5,333.0,99,33372.0,10,98381250.0
AFRIC INDUSTRIES SA,24/03/2026,AFRIC INDUSTRIES SA,AFI,337.25,337.25,337.25,330.0,463,153850.35,46,98308375.0
AFMA,09/04/2026,AFMA,AFM,1235.0,1235.0,1235.0,1235.0,50,61750.0,2,1235000000.0
AFMA,08/04/2026,AFMA,AFM,-,1245.0,-,-,-,-,-,1245000000.0
AFMA,07/04/2026,AFMA,AFM,1245.0,1245.0,1245.0,1245.0,1,1245.0,1,1245000000.0
AFMA,06/04/2026,AFMA,AFM,1246.0,1246.0,1246.0,1246.0,1,1246.0,1,1246000000.0
AFMA,03/04/2026,AFMA,AFM,-,1246.0,-,-,-,-,-,1246000000.0
AFMA,02/04/2026,AFMA,AFM,1246.0,1246.0,1246.0,1246.0,1,1246.0,1,1246000000.0
AFMA,01/04/2026,AFMA,AFM,1248.0,1248.0,1248.0,1248.0,1,1248.0,1,1248000000.0
AFMA,31/03/2026,AFMA,AFM,-,1249.0,-,-,-,-,-,1249000000.0
AFMA,30/03/2026,AFMA,AFM,1249.0,1249.0,1249.0,1249.0,43,53707.0,4,1249000000.0
AFMA,27/03/2026,AFMA,AFM,1180.0,1180.0,1180.0,1180.0,2,2360.0,1,1180000000.0
